#OTU ID	A11	A21	A31	A41	A51	B11	B21	B31	B41	B51	C11	C21	C31	C41	C51	D11	D21	D31	D41	D51	E11	E21	E31	E51	F11	F21	F31	F41	F51
ASV_316	13	16	54	3	30	13	0	8	9	7	58	17	59	27	99	56	42	51	44	15	44	56	5	31	87	48	58	85	56
ASV_317	73	35	113	86	102	75	20	66	71	87	34	17	12	21	27	31	15	8	38	12	29	25	40	18	18	33	25	20	40
ASV_318	13	70	92	53	59	53	0	182	52	40	2	83	0	34	8	0	5	8	0	12	3	6	15	6	40	26	6	0	0
ASV_319	149	39	117	183	108	138	317	89	108	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	56	0	218	23	210	13	31	12	93	76	473	835	509	444	356	220	1191	435	0	1162	736	198	156	552	575	1179	700	563	731
ASV_320	30	109	146	27	128	53	20	325	133	109	5	199	7	72	15	4	5	12	0	9	0	6	20	12	62	22	22	3	3
ASV_321	106	109	255	40	105	195	31	116	99	120	77	86	15	48	31	22	42	206	82	12	148	37	232	28	40	92	64	29	23
ASV_322	3	23	130	50	89	53	37	58	527	127	22	66	84	72	149	112	57	62	31	35	17	84	15	25	36	33	50	49	56
ASV_323	109	105	42	213	52	399	61	43	74	73	0	0	2	0	0	0	17	0	0	3	0	0	0	3	0	26	0	26	53
ASV_324	10	47	92	43	85	18	7	81	114	58	113	56	114	133	149	99	104	54	99	44	79	93	25	52	91	107	111	134	120
ASV_325	43	195	155	160	190	253	164	263	395	251	87	113	153	267	237	202	42	128	82	29	61	65	10	49	95	95	108	128	56
ASV_326	0	27	54	43	30	213	174	376	0	87	77	0	5	0	207	38	42	8	0	15	12	74	20	55	44	7	167	26	30
ASV_327	10	8	21	10	13	18	10	12	22	11	63	63	79	89	99	45	12	31	51	18	44	43	0	31	55	48	58	39	37
ASV_328	17	94	71	43	98	71	65	70	278	105	48	109	79	209	134	128	15	70	75	44	55	71	10	31	73	51	42	33	37
